Краткое наименование;Адрес ОУ;Район
ГБОУ гимназия №42;Санкт-Петербург г, Сизова пр-кт, 32, А, 3, 197349;Приморский
ГБОУ гимназия №49;Санкт-Петербург г, Богатырский пр-кт, 55, А, 3, 197082;Приморский
ГБОУ гимназия №52;Санкт-Петербург г, Богатырский пр-кт, 7, А, 4, 197348;Приморский
ГБОУ гимназия №631;Санкт-Петербург г, Школьная ул, 13, А, 197183;Приморский
ГБОУ гимназия №66;Санкт-Петербург г, Аэродромная ул, 11, А, 2, 197348;Приморский
ГБОУ гимназия №540;Санкт-Петербург г, Оптиков ул, 46, А, 3, 197345;Приморский
ГБОУ гимназия №406;Санкт-Петербург г, Пушкин г, Леонтьевская ул, 10, А, 196601;Пушкинский
ГБОУ Гимназия №227;Санкт-Петербург г, Турку ул, 30 литер А, 192241;Фрунзенский
ГБОУ Гимназия №295;Санкт-Петербург г, Славы пр-кт, 40, А, 5, 192238;Фрунзенский
ГБОУ Гимназия №587;Санкт-Петербург г, Будапештская ул, 79, А, 2, 192281;Фрунзенский
ГБОУ Гимназия №205;Санкт-Петербург г, Димитрова ул, 10, А, 3, 192239;Фрунзенский
ГБОУ гимназия №363;Санкт-Петербург г, Димитрова ул, 15, 3, 192284;Фрунзенский
ГБОУ Гимназия №441;Санкт-Петербург г, Олеко Дундича ул, 37, 2, 192289;Фрунзенский
ГБОУ гимназия №155;Санкт-Петербург г, Греческий пр-кт, 21, 191036;Центральный
ГБОУ гимназия №157;Санкт-Петербург г, Лафонская улица, 1, А,Б, 191124;Центральный
ГБОУ гимназия №166;Санкт-Петербург г, Прудковский пер, 1/8, А, 191036;Центральный
ГБОУ гимназия №168;Санкт-Петербург г, Невский пр-кт, 169, А, 191167;Центральный
ГБОУ гимназия №171;Санкт-Петербург г, Маяковского ул, 9/16, 191014;Центральный
ГБОУ гимназия №209;Санкт-Петербург г, Восстания ул, 8, А, 191025;Центральный
